componentId,componentName,componentVersion,archiveFileName,path,crc32,size
sh2emodule,SH2 Enhancements Module,3.0.2218.0,SH2EE_Enhancements_Module_3.0.2218.0.zip,alsoft.ini,A7C7F667,237
sh2emodule,SH2 Enhancements Module,3.0.2218.0,SH2EE_Enhancements_Module_3.0.2218.0.zip,d3d8.dll,4701B1BE,12034560
sh2emodule,SH2 Enhancements Module,3.0.2218.0,SH2EE_Enhancements_Module_3.0.2218.0.zip,sh2e/etc/resource/r_menu_e.res,0A53C46E,643
sh2emodule,SH2 Enhancements Module,3.0.2218.0,SH2EE_Enhancements_Module_3.0.2218.0.zip,sh2e/etc/resource/r_menu_f.res,06FE00B2,802
sh2emodule,SH2 Enhancements Module,3.0.2218.0,SH2EE_Enhancements_Module_3.0.2218.0.zip,sh2e/etc/resource/r_menu_g.res,1B05B001,744
sh2emodule,SH2 Enhancements Module,3.0.2218.0,SH2EE_Enhancements_Module_3.0.2218.0.zip,sh2e/etc/resource/r_menu_i.res,562C0F02,768
sh2emodule,SH2 Enhancements Module,3.0.2218.0,SH2EE_Enhancements_Module_3.0.2218.0.zip,sh2e/etc/resource/r_menu_j.res,61CBF262,633
sh2emodule,SH2 Enhancements Module,3.0.2218.0,SH2EE_Enhancements_Module_3.0.2218.0.zip,sh2e/etc/resource/r_menu_s.res,F1EAEFD6,747
sh2emodule,SH2 Enhancements Module,3.0.2218.0,SH2EE_Enhancements_Module_3.0.2218.0.zip,SH2EEconfig.exe,AA26B693,1155072
sh2emodule\wine_stub,SH2 Enhancements Module Wine Stub,1.0.1,SH2EE_Wine_Stub_1.0.1.zip,d3dx.dll,F07A19B2,399872
sh2emodule\wine_stub,SH2 Enhancements Module Wine Stub,1.0.1,SH2EE_Wine_Stub_1.0.1.zip,sh2pc.exe,F60AB47F,5685248
ee_exe,Enhanced Executable,1.0.4GB,SH2EE_Enhanced_EXE_NA_v1.0.4GB.zip,sh2pc.exe,F60AB47F,5685248
ee_essentials,Enhanced Edition Essential Files,1.3.1,SH2EE_Essential_Files_1.3.1.zip,device.fix,985F668A,12332
ee_essentials,Enhanced Edition Essential Files,1.3.1,SH2EE_Essential_Files_1.3.1.zip,local.fix,E71170B1,37
ee_essentials,Enhanced Edition Essential Files,1.3.1,SH2EE_Essential_Files_1.3.1.zip,sh2.ico,DB459798,224254
ee_essentials,Enhanced Edition Essential Files,1.3.1,SH2EE_Essential_Files_1.3.1.zip,sh2e/bg/ap/ap.map,A94D4F87,5964928
ee_essentials,Enhanced Edition Essential Files,1.3.1,SH2EE_Essential_Files_1.3.1.zip,sh2e/bg/ap/ap01.cam,73FBB3B1,1664
